"Data (mm-dd)","Acidente de trânsito","Acidente de trabalho","Eventual suicídio","Eventual homicídio","Outro acidente","Ignorado"
"Jun-23","3","0","1","0","2","0"
"Jun-24","1","0","3","0","0","0"
"Jun-25","0","0","2","0","0","2"
"Jun-26","0","0","4","0","1","0"
"Jun-27","1","0","1","0","3","0"
"Jun-28","0","0","6","1","0","0"
"Jun-29","2","1","2","0","1","0"
"Jun-30","0","0","4","0","0","2"
"Jul-01","2","1","1","0","1","0"
"Jul-02","1","0","3","0","1","1"
"Jul-03","2","1","2","0","1","1"
"Jul-04","1","0","4","0","1","0"
"Jul-05","0","0","1","1","0","0"
"Jul-06","0","0","1","1","0","2"
"Jul-07","2","2","2","0","0","0"
"Jul-08","4","0","3","0","3","1"
"Jul-09","2","1","1","0","1","0"
"Jul-10","0","2","2","1","0","0"
"Jul-11","1","0","1","1","2","1"
"Jul-12","1","0","0","1","0","0"
"Jul-13","0","0","0","0","1","0"
"Jul-14","0","0","2","0","2","1"
"Jul-15","0","0","1","0","0","0"
"Jul-16","2","1","4","0","1","0"
"Jul-17","0","0","2","0","3","1"
"Jul-18","2","0","1","0","0","0"
"Jul-19","0","0","4","0","0","0"
"Jul-20","1","0","0","0","1","0"
"Jul-21","1","0","1","1","1","1"
"Jul-22","5","0","2","0","1","0"
"Jul-23","2","0","1","0","1","0"
"Jul-24","0","0","0","0","1","0"
"Jul-25","0","1","2","0","0","0"
"Jul-26","0","0","2","0","0","1"
"Jul-27","2","0","0","0","1","0"
"Jul-28","4","1","3","0","1","0"
"Jul-29","1","0","1","0","0","0"
"Jul-30","1","0","3","1","2","0"
"Jul-31","4","0","2","0","1","0"
"Ago-01","3","0","4","0","1","0"
"Ago-02","3","0","3","0","1","0"
"Ago-03","2","0","0","0","3","0"
"Ago-04","0","0","0","1","1","0"
"Ago-05","3","0","0","0","4","3"
"Ago-06","0","2","1","0","3","1"
"Ago-07","0","0","3","0","2","0"
"Ago-08","0","0","0","0","0","0"
"Ago-09","1","0","1","0","0","0"
"Ago-10","1","0","0","0","1","0"
"Ago-11","1","1","0","0","1","0"
"Ago-12","2","0","0","0","0","0"
"Ago-13","3","0","4","0","2","0"
"Ago-14","1","0","4","0","2","0"
"Ago-15","0","2","1","0","0","0"
"Ago-16","2","1","2","0","1","0"
"Ago-17","0","0","1","0","3","0"
"Ago-18","6","0","2","0","0","0"
"Ago-19","2","0","1","0","0","0"
"Ago-20","0","0","1","0","2","0"
"Ago-21","1","0","1","0","0","0"
"Ago-22","2","0","0","0","3","1"
"Ago-23","1","0","2","0","2","0"
"Ago-24","0","0","0","1","0","0"
"Ago-25","0","0","1","0","1","0"
"Ago-26","1","0","3","0","1","1"
"Ago-27","3","0","3","0","0","1"
"Ago-28","3","0","1","1","0","0"
"Ago-29","1","0","1","0","0","1"
"Ago-30","2","0","0","0","0","1"
"Ago-31","0","0","1","1","2","0"
"Set-01","2","1","2","1","1","1"
"Set-02","0","0","1","1","0","0"
"Set-03","1","0","2","0","3","1"
"Set-04","1","0","3","0","3","0"
"Set-05","0","0","1","0","0","0"
"Set-06","2","0","2","0","0","0"
"Set-07","0","0","1","0","2","0"
"Set-08","2","0","3","0","1","0"
"Set-09","4","0","1","0","2","0"
"Set-10","0","0","3","0","1","0"
"Set-11","1","1","4","1","1","0"
"Set-12","3","0","1","0","4","0"
"Set-13","0","0","6","0","1","1"
"Set-14","0","0","2","0","2","0"
"Set-15","3","0","0","0","2","0"
"Set-16","1","0","4","0","0","0"
"Set-17","2","1","1","0","1","0"
"Set-18","0","0","3","0","1","0"
"Set-19","2","1","0","0","1","0"
"Set-20","4","0","3","0","5","0"
"Set-21","3","0","4","0","0","0"
"Set-22","1","0","3","0","1","0"
"Set-23","3","0","1","0","3","0"
"Set-24","4","0","1","0","4","0"
"Set-25","2","0","1","0","0","0"
"Set-26","4","0","0","0","0","1"
"Set-27","2","1","0","0","0","0"
"Set-28","1","0","4","0","0","0"
"Set-29","4","0","1","0","0","1"
"Set-30","2","0","1","0","2","0"
"Out-01","1","0","6","0","2","1"
"Out-02","0","0","3","0","2","0"
"Out-03","0","0","2","0","2","0"
"Out-04","1","0","4","0","1","0"
"Out-05","1","1","4","0","0","1"
"Out-06","0","0","1","0","2","0"
"Out-07","2","0","0","1","0","0"
"Out-08","0","0","0","0","3","0"
"Out-09","1","0","1","0","1","0"
"Out-10","1","1","1","0","3","0"
"Out-11","1","0","2","1","0","0"
"Out-12","1","0","0","0","0","0"
"Out-13","5","0","3","0","0","0"
"Out-14","2","0","2","0","2","0"
"Out-15","1","0","1","0","1","0"
"Out-16","1","0","2","0","1","0"
"Out-17","1","1","1","0","2","0"
"Out-18","0","0","1","0","2","0"
"Out-19","1","0","0","0","2","0"
"Out-20","0","0","2","0","3","0"
"Out-21","4","0","2","0","1","1"
"Out-22","3","0","2","0","5","1"
"Out-23","1","0","1","0","2","1"
"Out-24","0","1","4","0","0","0"
"Out-25","2","0","0","0","2","0"
"Out-26","2","0","2","1","0","0"
"Out-27","1","0","0","0","0","0"
"Out-28","3","0","0","0","3","0"
"Out-29","1","0","0","0","0","0"
"Out-30","1","0","1","0","1","0"
"Out-31","0","0","2","0","1","0"
"Nov-01","3","0","1","0","0","0"
"Nov-02","1","0","1","0","1","1"
"Nov-03","1","0","2","0","1","0"
"Nov-04","0","0","3","0","0","0"
"Nov-05","1","0","4","0","2","0"
"Nov-06","0","0","2","0","2","0"
"Nov-07","3","0","2","0","2","0"
"Nov-08","1","0","0","0","3","1"
"Nov-09","1","0","2","0","2","1"
"Nov-10","3","0","0","0","0","0"
"Nov-11","1","0","0","0","1","1"
"Nov-12","1","0","0","0","0","0"
"Nov-13","1","0","5","0","1","0"
"Nov-14","1","0","0","0","1","0"
"Nov-15","0","0","2","0","2","0"
"Nov-16","1","0","1","0","0","0"
"Nov-17","2","1","2","0","3","0"
"Nov-18","1","0","1","0","1","0"
"Nov-19","1","1","2","0","1","0"
"Nov-20","1","1","2","0","1","1"
"Nov-21","0","0","3","0","0","1"
"Nov-22","1","0","1","0","0","0"
"Nov-23","0","1","1","1","3","1"
"Nov-24","2","0","4","0","3","2"
"Nov-25","0","0","0","1","2","0"
"Nov-26","1","0","1","0","0","0"
"Nov-27","0","0","0","0","0","0"
"Nov-28","1","0","1","0","2","0"
"Nov-29","3","0","1","0","0","0"
"Nov-30","3","0","1","0","1","0"
"Dez-01","3","0","0","0","1","2"
"Dez-02","2","0","2","0","0","0"
"Dez-03","0","0","2","0","0","0"
"Dez-04","0","0","0","0","1","1"
"Dez-05","0","0","2","0","1","1"
"Dez-06","1","0","3","0","1","0"
"Dez-07","1","0","1","0","2","2"
"Dez-08","1","0","1","0","0","0"
"Dez-09","2","0","1","1","0","0"
"Dez-10","0","0","1","0","2","0"
"Dez-11","2","1","1","0","1","1"
"Dez-12","1","0","2","1","0","0"
"Dez-13","2","0","0","0","1","1"
"Dez-14","0","0","2","0","2","0"
"Dez-15","3","0","1","0","2","0"
"Dez-16","0","0","1","0","1","0"
"Dez-17","0","1","1","0","2","0"
"Dez-18","1","1","0","0","1","0"
"Dez-19","1","0","1","0","0","0"
"Dez-20","0","0","3","0","1","0"
"Dez-21","6","0","0","0","1","0"
"Dez-22","2","1","0","0","2","0"
"Dez-23","3","0","0","0","0","0"
"Dez-24","4","0","1","1","2","0"
"Dez-25","1","0","0","0","3","2"
"Dez-26","0","1","2","0","4","0"
"Dez-27","1","0","1","0","1","1"
"Dez-28","2","2","1","0","0","0"
"Dez-29","0","1","0","0","1","0"
"Dez-30","3","0","0","0","0","0"
"Dez-31","0","0","0","0","2","0"
