"Data (mm-dd)","Acidente de trânsito","Acidente de trabalho","Eventual suicídio","Eventual homicídio","Outro acidente","Ignorado"
"Jan-01","1","0","3","0","1","2"
"Jan-02","1","0","2","0","3","0"
"Jan-03","2","0","4","0","2","0"
"Jan-04","0","0","2","0","0","0"
"Jan-05","3","2","0","0","1","0"
"Jan-06","0","0","0","0","0","0"
"Jan-07","1","0","4","0","0","1"
"Jan-08","0","1","2","0","0","1"
"Jan-09","0","0","1","0","3","0"
"Jan-10","2","0","1","0","2","1"
"Jan-11","0","0","0","1","2","0"
"Jan-12","2","0","1","0","2","0"
"Jan-13","1","0","1","0","0","2"
"Jan-14","0","0","2","0","3","0"
"Jan-15","2","0","2","0","0","0"
"Jan-16","0","0","3","1","3","0"
"Jan-17","1","0","1","0","0","0"
"Jan-18","1","0","1","0","0","0"
"Jan-19","4","2","2","0","3","0"
"Jan-20","0","0","2","0","3","0"
"Jan-21","3","0","0","0","0","0"
"Jan-22","0","1","2","0","0","0"
"Jan-23","3","0","2","0","0","1"
"Jan-24","0","1","4","0","1","0"
"Jan-25","2","1","0","0","4","1"
"Jan-26","1","0","0","0","2","0"
"Jan-27","2","0","2","0","1","0"
"Jan-28","1","0","3","0","1","0"
"Jan-29","2","2","2","1","2","1"
"Jan-30","0","0","0","0","1","0"
"Jan-31","2","0","2","0","0","0"
"Fev-01","2","0","0","0","1","0"
"Fev-02","2","0","2","0","1","0"
"Fev-03","0","1","0","0","0","0"
"Fev-04","2","0","0","0","1","0"
"Fev-05","1","0","3","0","0","1"
"Fev-06","0","1","2","0","5","1"
"Fev-07","0","0","3","0","1","1"
"Fev-08","1","0","1","0","1","0"
"Fev-09","0","0","1","0","3","0"
"Fev-10","1","1","0","0","0","0"
"Fev-11","0","0","1","0","1","0"
"Fev-12","1","1","3","0","2","0"
"Fev-13","0","0","1","1","3","0"
"Fev-14","0","0","0","0","3","0"
"Fev-15","0","0","2","0","0","0"
"Fev-16","0","0","0","0","0","0"
"Fev-17","2","1","0","0","2","0"
"Fev-18","2","0","0","0","0","0"
"Fev-19","2","0","3","1","2","0"
"Fev-20","1","0","1","0","3","1"
"Fev-21","1","0","0","0","1","0"
"Fev-22","0","0","2","0","2","0"
"Fev-23","0","0","2","0","1","0"
"Fev-24","2","0","1","0","1","1"
"Fev-25","0","0","1","0","3","0"
"Fev-26","1","1","0","0","0","0"
"Fev-27","1","0","2","0","0","0"
"Fev-28","4","1","1","0","1","1"
"Mar-01","0","0","1","0","3","0"
"Mar-02","2","0","0","1","1","0"
"Mar-03","2","1","1","0","0","0"
"Mar-04","1","0","0","0","0","0"
"Mar-05","0","0","2","0","1","0"
"Mar-06","4","1","1","0","1","1"
"Mar-07","0","0","1","0","0","1"
"Mar-08","1","0","0","0","0","0"
"Mar-09","0","0","2","0","0","0"
"Mar-10","3","0","0","2","1","0"
"Mar-11","1","0","3","0","0","0"
"Mar-12","0","0","0","0","1","0"
"Mar-13","0","2","0","1","0","0"
"Mar-14","1","0","3","0","2","0"
"Mar-15","2","0","2","0","2","0"
"Mar-16","0","0","3","0","3","0"
"Mar-17","3","0","1","0","1","0"
"Mar-18","0","0","2","0","3","0"
"Mar-19","1","0","0","0","2","0"
"Mar-20","0","1","0","0","1","0"
"Mar-21","0","0","2","0","0","0"
"Mar-22","0","1","0","0","1","0"
"Mar-23","0","0","2","0","1","0"
"Mar-24","1","0","0","0","0","0"
"Mar-25","3","0","1","0","0","0"
"Mar-26","0","1","2","0","1","0"
"Mar-27","2","0","2","0","2","1"
"Mar-28","0","0","0","1","2","0"
"Mar-29","2","0","2","0","0","0"
"Mar-30","0","0","1","0","2","1"
"Mar-31","1","0","1","1","0","0"
"Abr-01","2","0","1","1","0","0"
"Abr-02","0","0","4","0","1","0"
"Abr-03","3","0","1","1","0","1"
"Abr-04","1","0","2","0","0","0"
"Abr-05","1","0","1","0","2","0"
"Abr-06","0","0","0","0","2","0"
"Abr-07","1","0","0","0","1","0"
"Abr-08","4","0","1","0","0","0"
"Abr-09","0","0","3","0","1","1"
"Abr-10","3","0","1","0","2","0"
"Abr-11","2","0","3","0","3","0"
"Abr-12","0","0","1","0","0","1"
"Abr-13","0","0","1","0","1","1"
"Abr-14","1","0","3","0","1","0"
"Abr-15","1","0","1","0","0","0"
"Abr-16","0","0","1","0","1","0"
"Abr-17","1","1","0","1","3","1"
"Abr-18","3","0","1","0","4","0"
"Abr-19","0","0","3","1","1","0"
"Abr-20","0","0","3","0","1","0"
"Abr-21","0","2","1","0","0","0"
"Abr-22","1","0","2","1","1","1"
"Abr-23","0","1","3","0","0","0"
"Abr-24","0","0","0","0","0","0"
"Abr-25","1","0","0","0","2","1"
"Abr-26","1","1","1","0","1","1"
"Abr-27","0","1","0","0","0","0"
"Abr-28","0","0","2","0","1","0"
"Abr-29","2","0","2","0","0","0"
"Abr-30","1","0","3","1","0","0"
"Mai-01","1","0","3","0","0","0"
"Mai-02","0","0","4","0","2","0"
"Mai-03","2","1","5","0","1","0"
"Mai-04","0","1","1","0","1","0"
"Mai-05","1","1","0","0","1","0"
"Mai-06","3","0","2","0","2","0"
"Mai-07","4","0","1","0","0","1"
"Mai-08","1","0","1","0","4","0"
"Mai-09","0","1","1","0","1","1"
"Mai-10","1","1","3","0","1","0"
"Mai-11","1","1","2","0","3","0"
"Mai-12","1","0","3","1","1","1"
"Mai-13","1","0","1","0","5","0"
"Mai-14","2","0","2","0","0","1"
"Mai-15","2","2","0","0","2","0"
"Mai-16","0","0","1","0","4","1"
"Mai-17","1","1","1","0","1","0"
"Mai-18","1","2","2","0","1","0"
"Mai-19","2","0","1","0","2","0"
"Mai-20","1","0","1","0","5","0"
"Mai-21","1","1","4","0","1","0"
"Mai-22","0","0","2","0","1","0"
"Mai-23","1","0","2","0","0","0"
"Mai-24","0","1","0","1","1","0"
"Mai-25","0","1","3","0","0","0"
"Mai-26","1","0","0","0","2","0"
"Mai-27","4","0","2","0","1","0"
"Mai-28","1","1","2","0","0","0"
"Mai-29","2","0","2","0","1","0"
"Mai-30","2","1","1","0","1","0"
"Mai-31","1","0","2","0","0","0"
"Jun-01","0","0","3","0","1","0"
"Jun-02","0","0","5","0","3","0"
"Jun-03","1","0","1","0","1","0"
"Jun-04","0","0","1","0","1","0"
"Jun-05","1","1","1","0","1","0"
"Jun-06","1","0","3","0","1","0"
"Jun-07","1","0","2","0","2","0"
"Jun-08","0","0","1","1","3","0"
"Jun-09","1","0","1","0","1","0"
"Jun-10","2","0","2","0","3","0"
"Jun-11","2","0","2","0","1","0"
"Jun-12","0","0","1","0","2","2"
"Jun-13","0","0","1","0","2","1"
"Jun-14","2","1","1","0","1","0"
"Jun-15","1","1","2","1","1","0"
"Jun-16","1","0","0","0","2","2"
"Jun-17","2","0","1","0","0","0"
"Jun-18","0","0","0","0","4","0"
"Jun-19","1","0","4","0","0","0"
"Jun-20","2","0","1","0","1","1"
"Jun-21","8","0","0","0","0","0"
"Jun-22","0","0","2","0","0","1"
