state,date,ML,Low_90,High_90,Low_50,High_50
ARS Center,2020-03-09,3.0,1.01,6.99,2.04,4.45
ARS Center,2020-03-10,2.66,0.98,5.25,1.92,3.72
ARS Center,2020-03-11,2.46,0.9400000000000001,4.63,1.76,3.3200000000000003
ARS Center,2020-03-12,2.32,0.9400000000000001,4.29,1.73,3.15
ARS Center,2020-03-13,3.14,1.5,5.05,2.52,4.03
ARS Center,2020-03-14,2.96,1.55,4.45,2.43,3.65
ARS Center,2020-03-15,2.99,1.78,4.19,2.52,3.52
ARS Center,2020-03-16,2.58,1.61,3.59,2.21,3.0300000000000002
ARS Center,2020-03-17,2.39,1.57,3.27,2.07,2.77
ARS Center,2020-03-18,2.2800000000000002,1.56,3.04,2.0100000000000002,2.62
ARS Center,2020-03-19,2.16,1.51,2.81,1.94,2.48
ARS Center,2020-03-20,2.07,1.51,2.67,1.8800000000000001,2.36
ARS Center,2020-03-21,2.0100000000000002,1.51,2.5500000000000003,1.84,2.27
ARS Center,2020-03-22,1.97,1.51,2.44,1.83,2.22
ARS Center,2020-03-23,1.9100000000000001,1.49,2.33,1.77,2.12
ARS Center,2020-03-24,1.86,1.49,2.2600000000000002,1.74,2.06
ARS Center,2020-03-25,1.84,1.49,2.19,1.72,2.0100000000000002
ARS Center,2020-03-26,1.74,1.42,2.07,1.6300000000000001,1.9000000000000001
ARS Center,2020-03-27,1.6300000000000001,1.34,1.95,1.52,1.77
ARS Center,2020-03-28,1.59,1.32,1.9000000000000001,1.5,1.74
ARS Center,2020-03-29,1.55,1.29,1.84,1.47,1.7
ARS Center,2020-03-30,1.5,1.24,1.76,1.42,1.6400000000000001
ARS Center,2020-03-31,1.46,1.21,1.71,1.3800000000000001,1.59
ARS Center,2020-04-01,1.3800000000000001,1.1500000000000001,1.6400000000000001,1.3,1.5
ARS Center,2020-04-02,1.33,1.11,1.59,1.26,1.46
ARS Center,2020-04-03,1.27,1.05,1.52,1.17,1.36
ARS Center,2020-04-04,1.28,1.06,1.52,1.2,1.3900000000000001
ARS Center,2020-04-05,1.24,1.03,1.49,1.17,1.36
ARS Center,2020-04-06,1.18,0.97,1.42,1.12,1.31
ARS Center,2020-04-07,1.24,1.03,1.48,1.18,1.37
ARS Center,2020-04-08,1.25,1.04,1.48,1.17,1.35
ARS Center,2020-04-09,1.23,1.02,1.45,1.16,1.34
ARS Center,2020-04-10,1.18,0.98,1.41,1.12,1.3
ARS Center,2020-04-11,1.07,0.88,1.31,1.01,1.19
ARS Center,2020-04-12,1.03,0.8300000000000001,1.26,0.97,1.1500000000000001
ARS Center,2020-04-13,1.03,0.8200000000000001,1.25,0.96,1.1400000000000001
ARS Center,2020-04-14,0.9,0.7000000000000001,1.1400000000000001,0.8200000000000001,1.0
ARS Center,2020-04-15,0.89,0.68,1.1300000000000001,0.8200000000000001,1.01
ARS Center,2020-04-16,0.88,0.67,1.1300000000000001,0.81,1.0
