"Data (mm-dd)","Acidente de trânsito","Acidente de trabalho","Eventual suicídio","Eventual homicídio","Outro acidente","Ignorado"
"Jan-01","2","0","2","0","1","0"
"Jan-02","2","0","4","0","0","1"
"Jan-03","1","0","4","0","1","0"
"Jan-04","0","1","5","0","4","1"
"Jan-05","3","1","2","0","2","0"
"Jan-06","3","0","3","0","1","0"
"Jan-07","1","0","0","0","3","0"
"Jan-08","1","0","2","0","1","0"
"Jan-09","0","0","0","0","0","1"
"Jan-10","4","0","1","0","1","0"
"Jan-11","0","1","2","1","1","1"
"Jan-12","0","0","2","0","4","0"
"Jan-13","2","0","2","0","2","0"
"Jan-14","2","0","1","1","0","0"
"Jan-15","1","0","1","0","0","0"
"Jan-16","5","1","1","0","2","0"
"Jan-17","2","1","1","0","1","0"
"Jan-18","0","1","1","0","1","1"
"Jan-19","0","0","1","0","1","0"
"Jan-20","0","1","3","0","0","0"
"Jan-21","0","0","1","0","1","2"
"Jan-22","0","0","0","0","2","0"
"Jan-23","0","0","2","0","3","0"
"Jan-24","0","1","1","0","2","1"
"Jan-25","0","0","1","0","2","0"
"Jan-26","2","0","2","0","0","0"
"Jan-27","0","0","1","0","2","0"
"Jan-28","3","0","2","0","0","1"
"Jan-29","1","0","2","1","2","1"
"Jan-30","1","0","2","0","2","0"
"Jan-31","1","0","1","0","5","0"
"Fev-01","0","0","1","0","1","1"
"Fev-02","1","0","1","0","0","0"
"Fev-03","1","0","1","0","0","1"
"Fev-04","2","0","1","0","5","0"
"Fev-05","3","1","2","0","0","1"
"Fev-06","2","0","3","0","2","0"
"Fev-07","2","0","1","0","2","0"
"Fev-08","0","1","5","0","0","1"
"Fev-09","0","0","0","0","1","0"
"Fev-10","2","0","2","0","0","0"
"Fev-11","2","1","0","0","1","1"
"Fev-12","0","0","1","0","0","0"
"Fev-13","1","0","2","0","0","0"
"Fev-14","0","0","2","0","2","0"
"Fev-15","0","0","3","0","0","0"
"Fev-16","1","0","0","0","2","0"
"Fev-17","2","0","3","0","1","0"
"Fev-18","1","0","1","0","1","0"
"Fev-19","1","0","4","0","2","0"
"Fev-20","1","0","2","0","4","2"
"Fev-21","1","1","0","0","4","0"
"Fev-22","1","0","0","0","3","1"
"Fev-23","0","1","0","0","1","0"
"Fev-24","1","0","2","0","0","0"
"Fev-25","0","0","2","0","0","0"
"Fev-26","0","0","1","0","0","1"
"Fev-27","1","0","1","0","0","0"
"Fev-28","1","0","3","0","0","0"
"Mar-01","1","0","2","0","2","0"
"Mar-02","0","0","1","0","3","0"
"Mar-03","0","1","1","0","0","1"
"Mar-04","1","0","1","0","2","1"
"Mar-05","2","0","2","0","1","0"
"Mar-06","2","1","2","0","1","0"
"Mar-07","1","0","2","1","0","0"
"Mar-08","0","0","4","0","0","2"
"Mar-09","0","1","1","0","2","0"
"Mar-10","2","0","0","0","1","0"
"Mar-11","1","0","2","0","0","0"
"Mar-12","2","0","3","0","2","0"
"Mar-13","1","0","1","0","0","0"
"Mar-14","2","0","3","0","0","0"
"Mar-15","0","0","1","0","1","0"
"Mar-16","1","0","2","0","0","0"
"Mar-17","2","0","5","0","1","0"
"Mar-18","0","1","1","0","1","0"
"Mar-19","1","0","1","2","2","0"
"Mar-20","0","0","1","0","0","0"
"Mar-21","0","0","2","0","0","0"
"Mar-22","1","0","3","0","2","0"
"Mar-23","2","0","3","0","2","1"
"Mar-24","0","1","2","0","0","0"
"Mar-25","0","0","2","1","1","0"
"Mar-26","3","0","1","0","2","1"
"Mar-27","1","0","2","0","1","0"
"Mar-28","1","0","3","0","1","1"
"Mar-29","1","0","1","0","4","1"
"Mar-30","0","0","0","0","1","1"
"Mar-31","2","0","0","0","4","0"
"Abr-01","1","0","2","1","4","0"
"Abr-02","0","0","0","1","0","0"
"Abr-03","0","0","5","1","0","0"
"Abr-04","2","1","1","0","2","0"
"Abr-05","0","0","1","0","4","0"
"Abr-06","1","1","3","0","2","0"
"Abr-07","1","0","1","0","0","1"
"Abr-08","1","0","0","0","0","0"
"Abr-09","1","0","2","0","0","0"
"Abr-10","0","0","1","0","0","1"
"Abr-11","0","0","1","0","0","1"
"Abr-12","1","1","1","0","3","0"
"Abr-13","0","1","3","0","0","0"
"Abr-14","1","0","0","0","1","0"
"Abr-15","0","0","1","1","3","0"
"Abr-16","1","0","3","0","3","1"
"Abr-17","2","0","4","0","1","0"
"Abr-18","1","1","1","0","1","1"
"Abr-19","1","0","5","0","2","1"
"Abr-20","1","0","2","0","0","0"
"Abr-21","1","0","3","0","0","0"
"Abr-22","2","0","0","2","1","0"
"Abr-23","2","0","3","0","0","0"
"Abr-24","1","1","1","0","0","0"
"Abr-25","3","0","3","0","2","0"
"Abr-26","0","0","2","1","4","0"
"Abr-27","1","1","1","0","0","0"
"Abr-28","1","2","3","0","3","0"
"Abr-29","2","0","2","0","2","0"
"Abr-30","0","0","2","0","2","0"
"Mai-01","2","0","1","0","0","1"
"Mai-02","1","1","1","0","3","1"
"Mai-03","0","0","1","0","2","1"
"Mai-04","0","0","3","0","0","0"
"Mai-05","2","0","2","0","1","0"
"Mai-06","0","0","1","0","1","1"
"Mai-07","2","0","4","0","1","0"
"Mai-08","1","0","2","0","2","0"
"Mai-09","4","0","3","0","1","0"
"Mai-10","2","0","2","0","1","0"
"Mai-11","2","0","1","0","0","0"
"Mai-12","0","1","0","1","0","0"
"Mai-13","0","0","2","0","1","0"
"Mai-14","2","0","1","0","1","0"
"Mai-15","0","0","3","0","1","0"
"Mai-16","1","0","2","0","1","0"
"Mai-17","0","0","4","0","2","1"
"Mai-18","0","2","4","1","0","0"
"Mai-19","0","0","3","0","2","0"
"Mai-20","2","0","1","1","2","0"
"Mai-21","3","0","2","0","2","1"
"Mai-22","1","2","0","0","1","0"
"Mai-23","4","0","0","0","0","0"
"Mai-24","1","1","5","0","2","0"
"Mai-25","1","1","1","0","0","0"
"Mai-26","1","0","2","0","2","0"
"Mai-27","2","0","0","0","1","0"
"Mai-28","4","0","1","0","1","0"
"Mai-29","0","0","5","0","1","0"
"Mai-30","2","0","1","0","4","0"
"Mai-31","2","0","2","0","3","0"
"Jun-01","2","0","2","0","2","0"
"Jun-02","1","0","0","1","1","1"
"Jun-03","2","0","3","0","0","0"
"Jun-04","2","0","2","1","0","0"
"Jun-05","2","1","3","0","1","2"
"Jun-06","0","2","1","0","0","0"
"Jun-07","1","1","2","0","2","0"
"Jun-08","2","1","1","0","2","0"
"Jun-09","1","0","2","0","2","0"
"Jun-10","0","1","1","0","2","0"
"Jun-11","3","0","1","0","1","0"
"Jun-12","0","0","3","0","1","1"
"Jun-13","2","2","0","0","0","0"
"Jun-14","3","0","3","0","2","2"
"Jun-15","0","0","0","0","2","0"
"Jun-16","1","0","2","0","0","0"
