"Data (mm-dd)","Acidente de trânsito","Acidente de trabalho","Eventual suicídio","Eventual homicídio","Outro acidente","Ignorado"
"Jan-01","1","0","1","0","1","2"
"Jan-02","1","0","2","1","1","0"
"Jan-03","0","0","2","0","1","0"
"Jan-04","0","0","3","0","3","0"
"Jan-05","0","0","0","0","3","0"
"Jan-06","2","0","4","0","3","1"
"Jan-07","0","0","2","0","1","0"
"Jan-08","0","0","0","0","2","0"
"Jan-09","1","1","1","0","0","0"
"Jan-10","0","1","1","0","1","0"
"Jan-11","2","0","1","0","0","0"
"Jan-12","1","0","0","0","2","1"
"Jan-13","2","0","0","0","0","0"
"Jan-14","2","0","0","0","2","0"
"Jan-15","1","0","0","0","2","0"
"Jan-16","1","0","0","0","2","0"
"Jan-17","2","0","1","0","0","0"
"Jan-18","0","0","2","0","0","0"
"Jan-19","0","0","1","0","1","0"
"Jan-20","0","0","2","1","1","0"
"Jan-21","2","0","1","0","1","0"
"Jan-22","0","0","1","0","0","0"
"Jan-23","0","0","0","0","2","0"
"Jan-24","1","0","2","0","1","1"
"Jan-25","0","0","2","0","0","0"
"Jan-26","0","0","1","0","1","0"
"Jan-27","0","1","2","0","2","0"
"Jan-28","2","1","1","0","0","1"
"Jan-29","5","0","2","0","1","0"
"Jan-30","1","0","2","0","1","0"
"Jan-31","0","0","2","0","5","0"
"Fev-01","1","3","1","0","2","0"
"Fev-02","0","0","2","0","1","0"
"Fev-03","0","0","3","0","0","0"
"Fev-04","2","0","1","0","4","0"
"Fev-05","1","0","1","0","0","1"
"Fev-06","0","0","1","0","0","0"
"Fev-07","0","0","1","0","1","0"
"Fev-08","0","0","0","0","2","0"
"Fev-09","2","0","1","0","0","0"
"Fev-10","0","1","2","0","0","0"
"Fev-11","0","1","0","1","2","0"
"Fev-12","3","0","3","0","1","0"
"Fev-13","2","0","3","1","0","0"
"Fev-14","1","0","2","0","0","0"
"Fev-15","3","0","1","1","2","0"
"Fev-16","1","0","1","0","0","0"
"Fev-17","0","1","1","0","2","0"
"Fev-18","1","0","2","1","2","1"
"Fev-19","0","1","1","0","1","0"
"Fev-20","0","0","0","0","3","0"
"Fev-21","3","0","1","0","0","0"
"Fev-22","1","1","2","0","3","1"
"Fev-23","0","0","1","0","2","0"
"Fev-24","3","0","1","0","2","0"
"Fev-25","1","0","1","0","0","1"
"Fev-26","0","0","1","0","2","1"
"Fev-27","1","1","2","0","0","0"
"Fev-28","0","0","2","0","0","0"
"Fev-29","1","0","0","0","1","0"
"Mar-01","0","0","0","0","2","0"
"Mar-02","0","0","1","0","2","0"
"Mar-03","2","1","1","0","3","0"
"Mar-04","1","0","1","0","0","0"
