"Data (mm-dd)","Acidente de trânsito","Acidente de trabalho","Eventual suicídio","Eventual homicídio","Outro acidente","Ignorado"
"Jun-06","0","0","2","0","0","0"
"Jun-07","0","0","3","0","0","1"
"Jun-08","0","0","4","0","1","0"
"Jun-09","3","1","4","0","2","0"
"Jun-10","3","0","1","0","2","0"
"Jun-11","1","0","3","1","0","0"
"Jun-12","2","0","1","0","2","0"
"Jun-13","2","0","3","0","1","0"
"Jun-14","1","1","1","0","1","0"
"Jun-15","0","0","3","0","2","1"
"Jun-16","0","1","4","0","0","1"
"Jun-17","2","0","6","1","0","0"
"Jun-18","4","1","2","0","2","0"
"Jun-19","5","1","2","0","0","0"
"Jun-20","1","0","5","0","1","1"
"Jun-21","1","0","2","0","2","1"
"Jun-22","2","1","2","1","2","2"
"Jun-23","1","0","2","0","0","2"
"Jun-24","2","0","0","0","1","0"
"Jun-25","1","0","1","0","2","0"
"Jun-26","0","0","1","0","0","0"
"Jun-27","1","3","4","0","0","0"
"Jun-28","2","0","1","0","1","2"
"Jun-29","0","0","0","0","1","0"
"Jun-30","2","0","4","0","2","0"
"Jul-01","0","0","2","0","2","1"
"Jul-02","0","0","4","0","2","0"
"Jul-03","1","0","3","0","0","0"
"Jul-04","2","0","1","0","3","2"
"Jul-05","0","0","1","0","1","0"
"Jul-06","1","0","1","0","3","0"
"Jul-07","0","0","5","0","3","0"
"Jul-08","3","0","5","0","2","1"
"Jul-09","0","0","4","0","1","2"
"Jul-10","1","1","2","1","0","0"
"Jul-11","1","0","2","0","1","0"
"Jul-12","1","0","3","0","1","0"
"Jul-13","3","0","1","0","2","2"
"Jul-14","0","0","3","0","4","0"
"Jul-15","1","0","2","0","1","0"
"Jul-16","2","0","2","0","4","0"
"Jul-17","0","1","0","0","1","0"
"Jul-18","2","1","2","0","2","2"
"Jul-19","8","0","2","1","0","2"
"Jul-20","1","0","3","0","1","0"
"Jul-21","0","1","1","0","0","1"
"Jul-22","0","0","3","0","1","2"
"Jul-23","0","0","3","1","1","0"
"Jul-24","4","1","5","0","2","2"
"Jul-25","1","0","0","1","2","0"
"Jul-26","4","0","1","1","4","0"
"Jul-27","4","0","3","0","3","0"
"Jul-28","3","0","1","0","1","0"
"Jul-29","2","0","5","1","0","0"
"Jul-30","1","0","2","0","1","0"
"Jul-31","0","0","2","0","1","0"
"Ago-01","3","0","1","0","1","0"
"Ago-02","0","0","0","0","0","0"
"Ago-03","3","0","5","0","1","0"
"Ago-04","2","0","2","0","1","3"
"Ago-05","1","0","4","0","1","0"
"Ago-06","1","0","3","1","0","0"
"Ago-07","2","0","3","0","3","1"
"Ago-08","0","0","2","0","2","0"
"Ago-09","2","0","2","0","1","0"
"Ago-10","2","1","2","0","3","0"
"Ago-11","1","0","8","0","1","1"
"Ago-12","3","0","2","0","0","0"
"Ago-13","1","0","2","0","1","0"
"Ago-14","1","0","2","0","0","1"
"Ago-15","0","0","1","1","1","0"
"Ago-16","2","0","1","0","3","0"
"Ago-17","4","2","2","0","2","0"
"Ago-18","3","0","1","0","1","1"
"Ago-19","0","1","4","0","0","0"
"Ago-20","3","4","2","4","3","0"
"Ago-21","2","0","3","0","0","0"
"Ago-22","1","0","4","0","3","1"
"Ago-23","0","0","6","0","0","0"
"Ago-24","1","0","2","0","3","0"
"Ago-25","2","0","1","0","0","0"
"Ago-26","0","0","2","0","2","0"
"Ago-27","1","0","1","0","2","0"
"Ago-28","1","2","1","0","0","1"
"Ago-29","0","0","1","3","4","0"
"Ago-30","0","0","2","1","1","0"
"Ago-31","2","1","3","0","0","0"
"Set-01","2","0","1","0","1","0"
"Set-02","0","1","1","0","1","0"
"Set-03","1","2","1","0","5","0"
"Set-04","0","0","2","0","2","1"
"Set-05","2","1","1","0","1","1"
"Set-06","2","0","2","1","1","0"
"Set-07","3","0","0","0","2","0"
"Set-08","0","1","2","0","1","0"
"Set-09","1","0","3","1","2","1"
"Set-10","1","0","6","0","1","0"
"Set-11","2","0","0","0","2","0"
"Set-12","1","0","1","0","2","0"
"Set-13","1","0","4","0","3","1"
"Set-14","2","0","2","0","0","0"
"Set-15","1","0","0","0","3","3"
"Set-16","1","1","3","0","3","0"
"Set-17","0","0","1","0","4","1"
"Set-18","1","0","5","1","1","0"
"Set-19","2","0","1","0","1","1"
"Set-20","5","0","1","0","2","0"
"Set-21","6","0","3","0","1","0"
"Set-22","2","1","0","0","2","0"
"Set-23","0","0","1","0","4","0"
"Set-24","1","0","3","0","4","1"
"Set-25","0","1","1","0","2","0"
"Set-26","0","0","2","0","2","1"
"Set-27","5","0","0","0","2","1"
"Set-28","1","0","3","0","1","1"
"Set-29","1","0","1","0","0","1"
"Set-30","1","0","1","0","2","0"
"Out-01","1","0","2","0","0","0"
"Out-02","1","2","1","1","1","2"
"Out-03","0","0","3","0","2","0"
"Out-04","0","0","3","0","0","0"
"Out-05","1","0","1","0","2","0"
"Out-06","1","2","1","1","1","1"
"Out-07","0","0","3","0","2","1"
"Out-08","0","2","4","0","1","0"
"Out-09","1","0","7","0","0","0"
"Out-10","0","0","0","0","1","1"
"Out-11","3","1","0","0","2","0"
"Out-12","4","1","1","0","1","0"
"Out-13","0","0","0","0","1","0"
"Out-14","0","1","0","1","1","1"
"Out-15","2","1","2","0","2","0"
"Out-16","0","0","1","0","1","0"
"Out-17","0","0","4","1","1","0"
"Out-18","0","0","0","0","1","0"
"Out-19","0","1","1","0","0","0"
"Out-20","0","0","2","0","0","0"
"Out-21","1","0","1","0","3","0"
"Out-22","1","0","0","0","2","0"
"Out-23","0","0","4","0","0","0"
"Out-24","1","0","4","0","1","1"
"Out-25","3","0","1","0","2","1"
"Out-26","3","1","2","0","1","1"
"Out-27","2","0","2","0","3","0"
"Out-28","0","0","4","0","1","0"
"Out-29","1","0","3","0","4","1"
"Out-30","2","1","2","0","1","0"
"Out-31","1","1","2","0","1","0"
"Nov-01","2","0","2","0","1","1"
"Nov-02","1","0","2","0","3","0"
"Nov-03","1","0","1","0","4","0"
"Nov-04","3","0","2","0","2","0"
"Nov-05","1","1","2","0","1","1"
"Nov-06","3","0","2","0","0","0"
"Nov-07","1","0","2","0","1","0"
"Nov-08","4","0","0","0","0","0"
"Nov-09","1","1","2","0","1","1"
"Nov-10","2","0","2","0","0","0"
"Nov-11","1","2","1","0","3","1"
"Nov-12","1","0","1","0","2","2"
"Nov-13","0","0","2","0","1","2"
"Nov-14","1","0","0","0","0","0"
"Nov-15","2","0","0","0","0","1"
"Nov-16","1","0","1","0","0","1"
"Nov-17","2","0","2","1","2","0"
"Nov-18","1","0","3","0","2","0"
"Nov-19","0","1","1","0","2","0"
"Nov-20","1","0","2","0","1","1"
"Nov-21","5","0","0","0","0","0"
"Nov-22","0","0","2","0","1","1"
"Nov-23","1","0","2","1","3","0"
"Nov-24","3","1","2","0","1","0"
"Nov-25","2","1","2","0","1","0"
"Nov-26","2","0","2","0","6","0"
"Nov-27","2","0","2","0","2","0"
"Nov-28","2","0","0","0","2","0"
"Nov-29","2","0","0","0","0","1"
"Nov-30","0","0","1","0","1","0"
"Dez-01","0","1","1","0","5","0"
"Dez-02","2","1","4","0","0","0"
"Dez-03","1","0","1","0","3","1"
"Dez-04","0","0","2","1","1","0"
"Dez-05","2","0","0","0","1","2"
"Dez-06","1","0","0","1","3","1"
"Dez-07","3","1","2","0","2","1"
"Dez-08","0","0","3","0","2","0"
"Dez-09","0","0","0","0","2","0"
"Dez-10","1","0","0","0","0","0"
"Dez-11","1","1","3","0","0","2"
"Dez-12","0","0","0","0","2","0"
"Dez-13","1","0","1","0","3","1"
"Dez-14","1","1","1","0","1","0"
"Dez-15","1","0","2","0","1","0"
"Dez-16","2","0","1","0","2","0"
"Dez-17","1","0","1","0","2","0"
"Dez-18","3","0","1","0","1","0"
"Dez-19","1","0","3","0","2","0"
"Dez-20","2","0","1","0","2","0"
"Dez-21","2","0","1","0","3","0"
"Dez-22","0","0","1","0","1","1"
"Dez-23","3","0","0","0","1","1"
"Dez-24","2","1","1","0","0","0"
"Dez-25","1","0","3","1","1","0"
"Dez-26","1","0","1","0","2","1"
"Dez-27","0","0","2","0","1","0"
"Dez-28","0","0","2","3","4","0"
"Dez-29","2","0","4","0","1","1"
"Dez-30","0","0","3","0","2","0"
"Dez-31","2","0","1","0","4","0"
