"Data (mm-dd)","Acidente de trânsito","Acidente de trabalho","Eventual suicídio","Eventual homicídio","Outro acidente","Ignorado"
"Jan-01","0","0","0","0","1","1"
"Jan-02","0","0","0","0","1","0"
"Jan-03","1","0","3","0","0","0"
"Jan-04","1","0","1","0","1","1"
"Jan-05","0","0","3","1","2","2"
"Jan-06","2","0","0","1","4","0"
"Jan-07","1","0","3","1","2","0"
"Jan-08","0","0","1","0","1","2"
"Jan-09","2","0","3","0","2","0"
"Jan-10","2","0","2","0","3","0"
"Jan-11","5","1","2","0","2","0"
"Jan-12","2","0","2","1","0","0"
"Jan-13","1","0","1","0","2","1"
"Jan-14","0","0","2","0","2","1"
"Jan-15","2","0","1","1","1","0"
"Jan-16","5","0","1","0","2","0"
"Jan-17","1","0","0","1","0","0"
"Jan-18","0","0","0","0","0","0"
"Jan-19","0","0","1","0","3","0"
"Jan-20","1","0","2","0","1","0"
"Jan-21","1","0","3","0","2","0"
"Jan-22","0","0","2","0","3","1"
"Jan-23","0","0","2","0","0","1"
"Jan-24","0","0","2","0","0","1"
"Jan-25","0","0","1","1","0","1"
"Jan-26","3","0","0","0","1","0"
"Jan-27","0","0","1","0","0","0"
"Jan-28","2","0","2","0","4","1"
"Jan-29","1","0","4","0","3","0"
"Jan-30","1","0","2","0","0","1"
"Jan-31","1","0","1","0","0","0"
"Fev-01","2","1","0","0","0","0"
"Fev-02","2","0","2","0","0","0"
"Fev-03","1","0","2","0","1","0"
"Fev-04","2","0","2","1","2","0"
"Fev-05","1","1","3","0","0","0"
"Fev-06","0","0","3","0","1","0"
"Fev-07","0","0","6","0","0","0"
"Fev-08","2","0","2","0","4","0"
"Fev-09","0","1","2","0","5","2"
"Fev-10","0","0","1","0","0","2"
"Fev-11","0","1","4","0","0","1"
"Fev-12","2","0","1","0","0","0"
"Fev-13","2","0","0","0","1","0"
"Fev-14","1","0","0","0","1","0"
"Fev-15","3","1","0","0","0","0"
"Fev-16","2","0","1","0","2","0"
"Fev-17","2","0","3","0","3","0"
"Fev-18","0","0","0","1","0","0"
"Fev-19","0","0","1","0","0","0"
"Fev-20","1","0","4","0","0","0"
"Fev-21","2","0","0","0","1","1"
"Fev-22","2","0","2","0","1","1"
"Fev-23","1","0","1","0","3","0"
"Fev-24","1","1","1","0","0","0"
"Fev-25","1","0","1","0","1","1"
"Fev-26","1","0","1","0","1","0"
"Fev-27","0","0","1","0","1","0"
"Fev-28","1","0","1","0","1","0"
"Mar-01","2","0","5","0","2","0"
"Mar-02","3","0","0","0","0","0"
"Mar-03","0","0","0","1","3","0"
"Mar-04","2","0","1","0","0","0"
"Mar-05","1","0","3","0","0","0"
"Mar-06","1","0","3","0","2","0"
"Mar-07","1","1","2","0","0","0"
"Mar-08","0","0","3","0","2","0"
"Mar-09","1","0","2","0","2","0"
"Mar-10","1","0","2","0","0","0"
