"Data (mm-dd)","Acidente de trânsito","Acidente de trabalho","Eventual suicídio","Eventual homicídio","Outro acidente","Ignorado"
"Jan-01","4","0","3","1","0","1"
"Jan-02","0","0","3","0","3","0"
"Jan-03","0","0","2","0","0","0"
"Jan-04","1","0","2","0","0","0"
"Jan-05","0","0","2","0","2","0"
"Jan-06","1","0","3","1","0","1"
"Jan-07","1","1","3","0","1","0"
"Jan-08","0","1","1","1","1","0"
"Jan-09","6","0","0","0","2","0"
"Jan-10","1","0","0","0","0","1"
"Jan-11","1","0","0","0","1","0"
"Jan-12","0","0","3","0","3","1"
"Jan-13","0","0","2","0","0","0"
"Jan-14","0","1","2","2","4","0"
"Jan-15","2","0","1","0","1","0"
"Jan-16","0","0","2","1","1","0"
"Jan-17","0","0","1","0","1","0"
"Jan-18","3","1","3","1","1","0"
"Jan-19","3","1","2","0","0","0"
"Jan-20","1","0","1","0","0","1"
"Jan-21","0","1","1","0","3","2"
"Jan-22","0","0","0","0","1","0"
"Jan-23","0","0","0","0","3","0"
"Jan-24","1","0","0","0","0","0"
"Jan-25","1","0","2","0","1","1"
"Jan-26","1","1","2","0","0","0"
"Jan-27","1","0","4","0","0","0"
"Jan-28","1","1","1","0","2","0"
"Jan-29","4","0","2","0","1","0"
"Jan-30","0","0","0","0","0","1"
"Jan-31","0","0","4","0","2","0"
"Fev-01","2","0","3","0","4","0"
"Fev-02","1","0","0","0","0","0"
"Fev-03","3","1","2","0","1","0"
"Fev-04","0","2","0","1","0","1"
"Fev-05","0","0","0","0","0","3"
"Fev-06","1","0","0","0","1","0"
"Fev-07","1","0","1","0","0","0"
"Fev-08","1","0","1","0","1","0"
"Fev-09","2","0","2","0","3","0"
"Fev-10","1","0","2","0","1","1"
"Fev-11","0","1","3","0","3","0"
"Fev-12","1","0","4","0","0","0"
"Fev-13","1","0","2","0","0","1"
"Fev-14","1","0","0","0","1","0"
"Fev-15","0","0","0","0","3","0"
"Fev-16","3","0","2","2","1","1"
"Fev-17","2","0","2","0","1","1"
"Fev-18","1","0","1","0","1","0"
"Fev-19","4","2","0","0","3","0"
"Fev-20","2","0","1","0","3","0"
"Fev-21","1","1","1","1","2","1"
"Fev-22","0","2","2","0","3","0"
"Fev-23","2","0","1","0","1","0"
"Fev-24","0","0","3","0","2","0"
"Fev-25","0","0","4","0","0","0"
"Fev-26","0","1","1","0","0","2"
"Fev-27","0","1","1","0","0","0"
"Fev-28","3","0","1","1","1","0"
"Fev-29","1","0","0","0","1","0"
"Mar-01","1","1","1","0","1","0"
"Mar-02","0","0","2","0","0","1"
"Mar-03","0","0","2","0","1","0"
"Mar-04","1","0","1","0","1","0"
"Mar-05","4","2","1","0","0","0"
"Mar-06","2","0","2","0","0","1"
"Mar-07","1","0","1","0","0","0"
"Mar-08","1","0","2","0","1","0"
"Mar-09","1","0","1","0","1","0"
"Mar-10","3","1","1","0","1","0"
"Mar-11","1","0","2","0","3","0"
"Mar-12","0","0","3","0","0","1"
"Mar-13","1","0","1","1","2","0"
"Mar-14","0","1","2","0","1","0"
"Mar-15","3","0","2","0","2","0"
"Mar-16","1","0","1","0","5","0"
"Mar-17","1","0","2","0","1","0"
"Mar-18","0","0","2","0","2","0"
"Mar-19","3","1","6","0","3","0"
"Mar-20","0","0","2","1","0","0"
"Mar-21","1","0","1","1","1","0"
"Mar-22","0","0","2","0","2","1"
"Mar-23","1","1","3","0","0","1"
"Mar-24","0","0","1","0","1","0"
"Mar-25","2","0","1","1","4","0"
"Mar-26","1","0","3","0","3","0"
"Mar-27","1","0","2","1","1","1"
"Mar-28","1","0","0","0","0","0"
"Mar-29","0","0","1","0","2","0"
"Mar-30","1","1","2","0","2","0"
"Mar-31","0","0","4","0","1","0"
"Abr-01","0","0","1","0","1","0"
"Abr-02","2","0","1","0","2","1"
"Abr-03","2","0","4","0","3","0"
"Abr-04","0","0","2","0","1","0"
"Abr-05","1","0","3","1","1","1"
"Abr-06","1","0","0","0","1","1"
"Abr-07","1","1","1","0","1","0"
"Abr-08","0","0","4","0","0","1"
"Abr-09","1","0","1","0","0","0"
"Abr-10","1","0","1","0","2","0"
"Abr-11","1","0","1","0","0","0"
"Abr-12","1","0","1","0","0","0"
"Abr-13","0","0","2","0","0","0"
"Abr-14","0","1","3","0","1","0"
"Abr-15","0","1","0","0","2","0"
"Abr-16","1","0","3","0","3","0"
"Abr-17","0","0","3","0","0","0"
"Abr-18","0","1","1","1","1","0"
"Abr-19","0","0","0","0","3","0"
"Abr-20","0","0","3","0","1","0"
"Abr-21","3","0","5","0","4","1"
"Abr-22","0","1","4","0","1","2"
"Abr-23","0","0","2","0","2","0"
"Abr-24","1","0","2","0","3","0"
"Abr-25","0","0","2","0","1","1"
"Abr-26","1","1","3","0","2","0"
"Abr-27","0","1","2","0","1","0"
"Abr-28","0","0","1","0","1","1"
"Abr-29","1","0","3","0","1","1"
"Abr-30","1","1","4","0","2","0"
"Mai-01","1","0","3","0","3","2"
"Mai-02","0","0","3","0","2","0"
"Mai-03","0","0","2","0","2","0"
"Mai-04","1","1","2","0","0","0"
"Mai-05","1","0","2","0","1","2"
"Mai-06","1","0","1","0","1","1"
"Mai-07","0","0","2","0","1","0"
"Mai-08","0","0","2","0","2","0"
"Mai-09","0","0","1","1","2","0"
"Mai-10","2","1","0","0","1","1"
"Mai-11","0","0","2","0","1","0"
"Mai-12","0","0","3","0","0","0"
"Mai-13","0","1","2","0","3","0"
"Mai-14","0","0","0","0","1","0"
"Mai-15","0","0","3","0","2","0"
"Mai-16","3","0","1","1","5","0"
"Mai-17","2","0","0","0","1","1"
"Mai-18","2","1","1","0","0","1"
"Mai-19","1","1","2","0","3","0"
"Mai-20","4","0","3","0","1","0"
"Mai-21","2","1","3","0","1","1"
"Mai-22","1","0","4","0","1","0"
"Mai-23","1","0","2","0","0","1"
"Mai-24","1","1","2","0","2","0"
"Mai-25","1","1","1","1","1","0"
"Mai-26","0","0","1","1","2","0"
"Mai-27","1","0","1","2","1","0"
"Mai-28","2","0","1","0","2","0"
"Mai-29","4","0","3","0","3","0"
"Mai-30","1","0","1","0","2","0"
"Mai-31","2","0","0","0","0","0"
"Jun-01","2","3","1","0","0","0"
"Jun-02","1","0","1","0","2","1"
"Jun-03","1","0","1","0","1","0"
"Jun-04","2","0","1","1","1","1"
"Jun-05","1","0","1","1","0","1"
"Jun-06","1","0","2","0","1","0"
"Jun-07","0","0","4","0","1","0"
"Jun-08","0","0","1","0","1","0"
"Jun-09","1","0","2","0","0","0"
"Jun-10","1","0","3","0","2","0"
"Jun-11","0","0","3","0","2","0"
"Jun-12","2","0","1","0","1","0"
"Jun-13","0","0","1","0","1","0"
"Jun-14","1","0","1","0","1","0"
"Jun-15","1","0","4","0","0","0"
"Jun-16","0","1","3","0","1","0"
"Jun-17","0","1","2","0","0","1"
"Jun-18","2","0","3","0","3","0"
"Jun-19","1","0","2","0","2","0"
"Jun-20","1","0","2","0","1","0"
"Jun-21","1","1","2","0","0","0"
"Jun-22","1","0","5","0","2","2"
"Jun-23","2","0","0","0","0","0"
"Jun-24","1","0","1","0","1","1"
"Jun-25","1","1","2","0","2","0"
"Jun-26","0","0","0","0","1","0"
"Jun-27","2","1","1","1","1","1"
"Jun-28","2","0","1","0","2","0"
"Jun-29","1","1","3","0","1","0"
"Jun-30","2","0","4","1","3","0"
"Jul-01","1","0","2","0","4","0"
"Jul-02","1","0","2","0","1","0"
"Jul-03","6","0","0","0","2","0"
"Jul-04","1","1","3","0","2","2"
"Jul-05","0","0","1","0","0","0"
"Jul-06","1","0","0","0","4","0"
"Jul-07","0","2","2","0","0","1"
"Jul-08","3","0","0","0","0","0"
"Jul-09","2","0","2","0","2","0"
"Jul-10","2","0","1","0","0","0"
"Jul-11","0","4","3","0","4","0"
"Jul-12","1","0","2","0","1","0"
"Jul-13","1","0","1","0","2","0"
"Jul-14","0","0","1","0","0","0"
"Jul-15","0","0","2","0","4","0"
"Jul-16","2","0","0","1","2","0"
"Jul-17","2","0","1","0","1","0"
"Jul-18","0","1","0","0","3","1"
"Jul-19","2","0","1","0","1","1"
"Jul-20","5","0","2","0","5","0"
"Jul-21","0","0","3","0","2","0"
"Jul-22","1","0","0","0","1","2"
"Jul-23","1","1","2","0","1","1"
"Jul-24","2","0","0","0","0","1"
"Jul-25","2","0","0","0","2","0"
"Jul-26","0","0","4","0","1","0"
"Jul-27","1","0","2","0","2","1"
"Jul-28","1","1","5","1","0","1"
"Jul-29","1","0","1","0","3","0"
"Jul-30","0","0","2","0","0","0"
"Jul-31","0","0","4","2","1","0"
"Ago-01","1","0","2","0","2","1"
"Ago-02","0","0","1","0","1","0"
"Ago-03","2","0","1","0","1","1"
"Ago-04","1","0","4","0","2","0"
"Ago-05","1","0","1","0","0","0"
"Ago-06","2","0","0","0","2","0"
"Ago-07","1","0","1","0","2","2"
"Ago-08","0","1","3","0","4","1"
"Ago-09","3","1","2","1","0","0"
"Ago-10","1","2","3","1","0","1"
"Ago-11","4","0","1","1","1","0"
"Ago-12","1","0","1","0","5","0"
"Ago-13","0","0","1","0","0","0"
"Ago-14","2","0","3","0","1","0"
"Ago-15","3","0","2","0","2","0"
"Ago-16","1","0","1","0","1","1"
"Ago-17","1","0","3","0","3","0"
"Ago-18","0","0","1","0","0","0"
"Ago-19","2","0","2","0","3","0"
"Ago-20","1","1","0","0","0","0"
"Ago-21","2","0","4","0","1","0"
"Ago-22","0","0","3","0","1","0"
"Ago-23","1","0","2","0","1","1"
"Ago-24","0","0","2","0","0","1"
"Ago-25","0","0","1","0","2","0"
"Ago-26","0","0","2","1","1","0"
"Ago-27","1","0","0","0","2","0"
"Ago-28","1","0","1","0","2","0"
"Ago-29","6","0","1","1","5","0"
