"Data (mm-dd)","Acidente de trânsito","Acidente de trabalho","Eventual suicídio","Eventual homicídio","Outro acidente","Ignorado"
"Ago-30","1","1","1","0","1","0"
"Ago-31","1","1","2","0","1","0"
"Set-01","2","0","2","0","0","0"
"Set-02","2","1","2","0","3","1"
"Set-03","3","0","2","1","1","0"
"Set-04","1","0","0","0","1","0"
"Set-05","3","0","4","0","1","0"
"Set-06","2","0","0","0","2","0"
"Set-07","0","0","0","1","1","0"
"Set-08","0","2","2","0","3","0"
"Set-09","0","0","1","0","3","0"
"Set-10","1","0","1","1","3","0"
"Set-11","1","1","0","1","2","0"
"Set-12","3","0","1","0","0","0"
"Set-13","0","0","3","0","1","0"
"Set-14","0","0","1","0","1","0"
"Set-15","1","0","3","0","2","0"
"Set-16","1","0","1","0","2","0"
"Set-17","2","0","5","0","0","0"
"Set-18","1","0","3","1","3","0"
"Set-19","1","0","1","0","1","0"
"Set-20","1","1","1","0","2","0"
"Set-21","4","2","0","0","1","0"
"Set-22","2","1","1","0","2","0"
"Set-23","1","0","2","0","1","1"
"Set-24","0","0","0","0","0","0"
"Set-25","0","0","1","1","2","2"
"Set-26","2","0","1","0","1","1"
"Set-27","1","0","2","0","1","0"
"Set-28","1","1","1","0","0","0"
"Set-29","0","0","0","1","0","0"
"Set-30","1","0","4","1","0","1"
"Out-01","3","1","0","0","3","0"
"Out-02","1","0","1","0","0","0"
"Out-03","0","0","0","0","1","1"
"Out-04","0","0","1","0","2","0"
"Out-05","0","0","0","0","1","1"
"Out-06","2","1","1","0","0","0"
"Out-07","1","1","1","0","0","0"
"Out-08","1","0","2","0","1","0"
"Out-09","3","0","2","0","2","0"
"Out-10","2","0","0","0","3","0"
"Out-11","1","0","1","1","0","0"
"Out-12","0","0","1","0","1","1"
"Out-13","1","0","3","0","0","0"
"Out-14","1","0","1","0","2","0"
"Out-15","0","1","2","0","0","0"
"Out-16","0","0","0","1","0","0"
"Out-17","1","0","1","0","0","0"
"Out-18","1","0","0","0","1","1"
"Out-19","0","1","0","0","1","0"
"Out-20","1","0","1","0","5","0"
"Out-21","1","0","2","0","0","0"
"Out-22","1","1","1","0","1","0"
"Out-23","0","0","0","0","1","0"
"Out-24","1","0","5","0","2","0"
"Out-25","2","0","2","0","1","0"
"Out-26","3","0","3","0","2","0"
"Out-27","4","0","0","0","1","1"
"Out-28","4","0","4","0","2","1"
"Out-29","1","0","2","1","1","0"
"Out-30","1","0","0","0","0","0"
"Out-31","2","0","1","0","0","0"
"Nov-01","1","0","1","0","2","0"
"Nov-02","1","1","2","0","1","0"
"Nov-03","1","1","1","0","0","1"
"Nov-04","1","0","0","1","2","1"
"Nov-05","0","0","3","0","2","0"
"Nov-06","0","0","0","0","2","0"
"Nov-07","2","1","2","0","2","1"
"Nov-08","2","0","2","0","4","0"
"Nov-09","0","1","0","0","0","0"
"Nov-10","4","1","4","0","1","0"
"Nov-11","2","0","0","0","1","0"
"Nov-12","0","0","0","0","2","1"
"Nov-13","0","0","1","0","1","1"
"Nov-14","2","0","0","0","3","0"
"Nov-15","2","0","0","0","1","0"
"Nov-16","1","0","1","0","4","0"
"Nov-17","1","1","1","0","1","1"
"Nov-18","0","0","2","1","2","0"
"Nov-19","2","1","1","0","2","2"
"Nov-20","3","0","0","0","2","0"
"Nov-21","3","0","1","0","4","0"
"Nov-22","1","1","1","0","1","0"
"Nov-23","0","0","1","0","1","0"
"Nov-24","2","0","2","0","2","0"
"Nov-25","0","0","1","0","2","0"
"Nov-26","1","0","0","0","2","0"
"Nov-27","0","0","1","0","3","1"
"Nov-28","2","1","1","0","4","0"
"Nov-29","1","0","2","0","2","0"
"Nov-30","3","0","0","1","1","0"
"Dez-01","3","0","0","0","1","0"
"Dez-02","1","1","1","0","1","0"
"Dez-03","1","0","1","0","0","0"
"Dez-04","1","0","0","0","0","0"
"Dez-05","1","1","1","0","2","0"
"Dez-06","0","0","0","0","1","0"
"Dez-07","2","0","1","0","0","0"
"Dez-08","3","0","3","0","0","1"
"Dez-09","0","0","1","1","2","1"
"Dez-10","0","1","1","1","1","0"
"Dez-11","2","0","0","0","2","0"
"Dez-12","1","0","3","0","2","0"
"Dez-13","0","0","0","0","0","1"
"Dez-14","0","0","7","0","0","0"
"Dez-15","1","0","2","0","1","1"
"Dez-16","2","0","2","0","3","0"
"Dez-17","3","0","1","0","2","0"
"Dez-18","0","0","1","1","3","0"
"Dez-19","1","0","0","0","0","1"
"Dez-20","3","0","0","0","3","0"
"Dez-21","0","0","3","0","1","0"
"Dez-22","1","0","1","1","2","0"
"Dez-23","2","1","1","0","1","0"
"Dez-24","1","0","3","0","0","0"
"Dez-25","1","0","0","0","3","1"
"Dez-26","0","0","4","0","3","0"
"Dez-27","1","0","2","0","3","3"
"Dez-28","2","0","2","0","2","0"
"Dez-29","1","0","4","0","0","1"
"Dez-30","2","1","0","0","2","1"
"Dez-31","1","0","1","0","0","0"
